,Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Writing.Credits,Lyrics,Features
818,Luke Combs,Beautiful Crazy,28,21,25,5/11/19,4-May-18,Country,"Wyatt b durrette, Robert williford, Luke combs","Beautiful Crazy 
Her day starts with a coffee and ends with a wine
Takes forever getting ready so she's never on time for anything
When she gets that come get me look in her eyes
Well, it kinda scares me, the way that she drives me wild
When she drives me wild
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me
She makes plans for the weekend, can't wait to go out
Till she changes her mind
Says, Let's stay on the couch and watch TV""
And she falls asleep
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me
She's unpredictable, unforgettable
It's unusual, unbelievable
How I'm such a fool, yeah I'm such a fool for her
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, she's crazy, she's crazy
But her crazy's beautiful to me
Her crazy's beautiful to me
",
819,A Boogie Wit da Hoodie,Look Back At It,29,28,21,5/11/19,7-Dec-18,"Pop,Rap","Chrishan, Hitmaka, Jahaan sweet, A boogie wit da hoodie","Look Back at It 
Look back at it
She ain't never do this before, but she good at it
Said she never made love, but she good at it She good at it
She make a nigga feel good when I look at it Yeah
I get goosebumps when I look at it Look at it
Oh, girls just wanna have fun with it Fun with it
All the girls just wanna have fun with me Fun with me
These girls ain't really no good for me, yeah
Drrrat, da-da, da
Drrrat, da-da-da, da
Drrrat, da-da-um-da
Drrrat, da-da-da-um-da
Yeah, got a new Benz that I ain't promotin', yeah
All of my friends love money throwin'
Drrrat, da-da-da-um-da
Let me tell you something bout my life
And every single chain, and my diamond rings
The way you walkin', the way you talkin', it's all because of me
And the way I'm all on you, girl, you know it's true
The way I speak, it's my melody
Don't you ever think it's another me
Girl, on everything, it's a lot on me
I cannot be seen, I cannot be taking apologies
Yeah, they plot on me, cause that bag on me
Yeah, they after me, I got racks on me
Got the stash on me, think they gassing me
Yeah, hoodie on low but I stay focused
Yeah, it's hard to stay low when everybody notice, yeah
Look back at it
She ain't never do this before, but she good at it
Said she never made love, but she good at it
She make a nigga feel good when I look at it
I get goosebumps when I look at it
Oh, girls just wanna have fun with it
All the girls just wanna have fun with me
These girls ain't really no good for me, yeah
Drrrat, da-da, da
Drrrat, da-da-da, da
Drrrat, da-da-um-da
Drrrat, da-da-da-um-da
Yeah, got a new Benz that I ain't promotin', yeah
All of my friends love money throwin'
Drrrat, da-da-da-um-da
Drrrat, da-da-um-da
Can I come by and vibe? Can I?
I get a different type of fly Fly
Hit a lick and split it with my guys My guys
Getting rich I'm really lit, but I I
Ain't shit, I admit it but I try I try
If I'm wrong, just tell me that I'm right
Let me tell you something bout my life My life
Look back at it
Said she never made love, but she good at it Good at it
I get goosebumps when I look at it When I look at it
All the girls just wanna have fun with me
These girls...
",
820,City Girls,Act Up,30,30,9,5/11/19,16-Nov-18,"Motown,East Coast,Rap","Jt, Earlonthebeat, Lil yachty","Act Up 
Earl on the beat
Real ass bitch, give a fuck bout a nigga
Big Birkin bag, hold five, six figures
Stripes on my ass so he call this pussy Tigger
Fucking on a scamming ass, rich ass nigga
Same group of bitches, ain't no adding to the picture
Drop a couple racks, watch this ass get bigger
Drinking on liquor, and I'm looking at your nigga
If his money right, he can eat it like a Snicker
I ain't got time for you fake ass hoes
Talking all loud in them fake ass clothes
Fake ass shoes match that fake ass gold
I'm the realest bitch ever to you snake ass hoes
Act up, you can get snatched up
Act up, you can get snatched up
Act up, you can get snatched up
Dirty ass nails, baby girl, you need to back up
It's Yung Miami, and I came to run my sack up Yup
Tired ass hoes on my page tryna track us Ha
Brand new chain, City Girls going Platinum Facts
I keep a baby Glock, I ain't fighting with no random, period Period
You bitches weak, is you serious? Haha
I let him taste the pussy, now he acting all delirious Ow
Did the dash in the Rover like it's Fast and Furious
She see my number in his phone, now you acting curious Bitch
He gon' buy me Gucci if I ask for it Yup
He a classy nigga rocking Tom Ford Classy
I bet your lil' sister wanna look like me Lil' bitch
I bet your lil' brother wanna fuck on me
Hood bitch, good pussy, I ain't average
Um, he can't come around without that cabbage Nah
Um, pop a pussy bitch quick, like a bubblegum
I ain't never worry, I just deal with it for fun
Act up, you can get snatched up
Act up, you can get snatched up
Act up, you can get snatched up
Dirty ass nails, baby girl, you need to back up
JT on the track, and you know I'm bout my paper
Pussy sweet, pussy tight, so he called it Lifesaver
If your ass a broke nigga, hell nah, I can't date ya
If your ass a rich nigga, I'ma fuck ya til you ain't one
If that nigga a scammer, I'm turning to a dancer Yup
I make it clap like he got the right answer
Sit on it with manners, get it harder than a hammer
He wanna freak, pussy pink, breast cancer
Oh, you like big butts, well I like big bucks
I don't care about your chain, nigga, or your big truck Nah
Yeah, I know you getting it, but is you spending it?
Give a fuck what a nigga got if he ain't giving it
Ba-badass bitch, bad attitude Yeah
Nails done, hair done, ass too Ow
Your baby daddy fucking me and sucking me
He don't answer you, bitch, that's because of me Period
Act up, you can get snatched up
Act up, you can get snatched up
Act up, you can get snatched up
Dirty ass nails, baby girl, you need to back up
",
821,Marshmello,Here With Me,31,31,8,5/11/19,8-Mar-19,"Progressive House,House,Electro House,Electronic Pop,Alternative Pop,Electronic,Dubstep,Dance,Electro,Electronica,Electro-Pop,EDM,Synth-Pop,Pop","Steve mac, Martin doherty, Marshmello, Lauren mayberry, Iain cook","Here With Me 
Can I tell you something just between you and me?
When I hear your voice, I know I'm finally free
Every single word is perfect as it can be
And I need you here with me
When you lift me up, I know that I'll never fall
I can speak to you by saying nothing at all
Every single time, I find it harder to breathe
'Cause I need you here with me
Every day
You're saying the words that I want you to say
There's a pain in my heart and it won't go away
Now I know I'm falling in deep
'Cause I need you here with me
Every day
You're saying the words that I want you to say
There's a pain in my heart and it won't go away
Now I know I'm falling in deep
'Cause I need you here with me
I think I see your face in every place that I go
I try to hide it, but I know that it's gonna show
Every single night, I find it harder to sleep
'Cause I need you here with me
Every day
You're saying the words that I want you to say
There's a pain in my heart and it won't go away
Now I know I'm falling in deep
'Cause I need you here with me
Every day
You're saying the words that I want you to say
There's a pain in my heart and it won't go away
Now I know I'm falling in deep
'Cause I need you here with me
Can I tell you something just between you and me?
When I hear your voice, I know I'm finally free
Every single word is perfect as it can be
'Cause I need you here with me
",CHVRCHES
822,Calboy,Envy Me,32,31,20,5/11/19,13-Sep-18,Rap,Calboy,"Envy Me 
Now I lay me down to sleep Now I lay me down to sleep, ayy
I pray the Lord my soul to keep I pray the Lord my soul to keep, yeah, ayy
Like a locksmith, I got the keys Like a locksmith, I got the keys, yeah, ayy
Pull up, make opp niggas bleed Pull up, make opp niggas bleed, yeah, ayy
I got water like overseas, yeah, ayy Overseas
Bitch, I ball like NBA Bitch, I ball like NBA, yeah, ayy
Bitch, I ball like MVP Bitch, I ball like MVP, yeah, ayy
I got money, they envy me I got money, they envy me
I'm with the gang, not with the mob, what was you thinkin'?
Remember them days, and that shit was hard, a nigga been thinking Yeah
I put a four in a twenty ounce, a nigga been drinking Yeah
If you with the squad, I give you my heart, lil' nigga, I mean it Yeah
I was fighting some demons, in the field, bitch, I'm deep in Deep in
I was raised in the deep end Deep end, I know niggas be sinking Sinkin'
Take your bitch and go deep in, but I gave her back, why you tweakin'? Tweakin'
Come around with that rah-rah, we leave you dead on the cement On the cement
With the gang, we ain't playing fair
Matter fact, we don't play at all
OG Woods in the air
But we bought the Runtz so we smoke it all
Putting on a front, boy, you better fall
We gon' kill em dead, we gon' kill em all
Might spend a ten when I'm in the mall
I was on the bend with it in my drawers
Hit that smoke and I'm blacking Blackin'
Hit that smoke and I black out
If he run, blow his back down
I was gone but I'm back now
These niggas gon' fold, but I never back down
In the school, I was trapping Trappin'
In the school, you was class clown Class clown
Ayy, now I lay me down to sleep, ayy
I pray the Lord my soul to keep, yeah, ayy
Like a locksmith, I got the keys, yeah, ayy
Pull up, make opp niggas bleed, yeah, ayy
I got water like overseas, yeah, ayy
Bitch, I ball like NBA, yeah, ayy
Bitch, I ball like MVP, yeah, ayy
I got money, they envy me
",
823,Morgan Wallen,Whiskey Glasses,33,33,9,5/11/19,27-Apr-18,Country,"Kevin kadish, Ben burgess","Whiskey Glasses 
Poor me, pour me another drink
'Cause I don't wanna feel a thing
No more, hell nah
I just wanna sip til the pain wears off
Poor me, pour me another round
Line em up and knock em down
Two more let's go
'Cause I ain't never hurt like this before
Don't wanna think about her
Or wear a ring without her
Don't wanna hit the karaoke bar
Can't sing without her
So make them drinks strong
'Cause brother she's gone
And if I'm ever gonna move on
I'ma need some whiskey glasses
'Cause I don't wanna see the truth
She's probably making out on the couch right now
With someone new
Yeah, I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single
I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
Ain't nothing else to do, but sip around the truth
And see the world through whiskey glasses
I need a better view, where I don't drink to you
Last call
I swear this will be my last call
Now I ain't drunk dialing no more at 3 am
Mr Bartender hitting me again
Don't wanna think about her
Or wear a ring without her
Don't wanna hit the karaoke bar
Can't sing without her
So make them drinks strong
'Cause brother she's gone
And if I'm ever gonna move on
I'ma need some whiskey glasses
'Cause I don't wanna see the truth
She's probably making out on the couch right now
With someone new
Yeah, I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single
I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
Ain't nothing else to do, but sip around the truth
Oh, see the world through whiskey glasses
I need a better view, where I don't drink to you
Line em up, line em up, line em up, line em up
Knock em back, knock em back, knock em back, knock em back
Fill em up, fill em up, fill em up, fill em up
'Cause if she ain't ever coming back
Line em up, line em up, line em up, line em up
Knock em back, knock em back, knock em back, knock em back
Fill em up, fill em up, fill em up, fill em up
'Cause if she ain't ever coming back
I'ma need some whiskey glasses
'Cause I don't wanna see the truth
She's probably making out on the couch right now
With someone new
Yeah, I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single
I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
Ain't nothing else to do, but sip around the truth
Oh, see the world through whiskey glasses
I need a better view, where I don't drink to you
Yeah
Ain't nothing else to do, but sip around the truth
And see the world through whiskey glasses
I need a better view, where I don't drink to you
Yeah
",
824,Blake Shelton,God's Country,34,34,5,5/11/19,29-Mar-19,Country,"Jordan schmidt, Hardy, Devin dawson","God's Country 
Right outside of this one church town
There's a gold dirt road to a whole lot of nothin'
Got a deed to the land, but it ain't my ground
This is God's country
We pray for rain, and thank Him when it's fallen
'Cause it brings a grain and a little bit of money
We put it back in the plate
I guess that's why they call it God's country
I saw the light in the sunrise
Sitting back in the 40 on the muddy riverside
Getting baptized in holy water and shine
With the dogs runnin'
Saved by the sound of the been found
Dixie whistled in the wind, that'll get you Heaven bound
The devil went down to Georgia, but he didn't stick around
This is God's country
We turned the dirt and worked until the week's done
We take a break and break bread on Sunday
And then do it all again
'Cause we're proud to be from God's country Yeah, yeah
I saw the light in the sunrise
Sitting back in the 40 on the muddy riverside
Getting baptized in holy water and shine
With the dogs runnin'
Saved by the sound of the been found
Dixie whistled in the wind, that'll get you Heaven bound
The devil went down to Georgia but he didn't stick around
This is God's country Yeah
This is God's country
God's country
I don't care what my headstone reads
Or what kind of pine wood box I end up in
When it's my time, lay me six feet deep
In God's country Yeah, yeah
I saw the light in the sunrise
Sitting back in the 40 on the muddy riverside
Getting baptized in holy water and shine
With the dogs runnin'
Saved by the sound of the been found
Dixie whistled in the wind, that'll get you Heaven bound
The devil went down to Georgia but he didn't stick around
This is God's country God's country
Yeah, I saw the light in the sunrise
Sitting back in the 40 on the muddy riverside
Getting baptized in holy water and shine
With the dogs runnin'
Saved by the sound of the been found
Dixie whistled in the wind, that'll get you Heaven bound
The devil went down to Georgia but he didn't stick around
This is God's country
",
825,"Daddy Yankee, Katy Perry",Con Calma,35,34,13,5/11/19,19-Apr-19,"Latin Pop,Dancehall,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music","Katy perry, Snow, Daddy yankee, Gaby music","Con Calma Remix 
D-D-D-D-D-DY
¡Ay, Daddy!
Play N' Skillz
Katy Perry
Run!
¿Como te llamas, baby?
A little mezcal got me feeling spicy
I know that we don't speak the same language
But I'm gonna let my body talk for me Talk for me
Hola, me llamo Katy
A little mezcal got me feeling naughty Let's go
I know that we don't speak the same language Woo
So I'm gonna let my body talk for me Talk for me
Con calma, yo quiero ver como ella lo menea
Mueve ese poom-poom, girl
Es un asesina, cuando baila quiere que to' el mundo la vea
I like your poom-poom, girl Sube, sube
Con calma, yo quiero ver como ella lo menea
Mueve ese poom-poom, girl
Tiene adrenalina, en medio e la pista, vente, hazme lo que sea ¡Woo!
I like your poom-poom, girl ¡Hey!
Dress up with my girls, on the hunt tonight
Got a feeling I'ma catch a wild one
And I know that I'm not typically your type
But you never had this kind of stimulation
All eyes on me when I light up the room
You play the right vibe and my body will move
Easy baby, I see you're in the mood
Me too ¡Woo!
Con calma
I see you're loving the way I work the floor now
I got the poom-poom, boy
You could be my Puerto Rican dream, and I'll be your California gurl now
I got the poom-poom, boy
Con calma
I see you're loving the way I work the floor now
I got the poom-poom, boy
You could be my Puerto Rican dream, and I'll be your California gurl now
I got the poom-poom, boy
Tu tiene' candela y yo tengo la vela
Llama el 911, se estan quemando las suela'
Me dana cuando la faldita esa me la modela ¡Ja!
Mami, estas enferma, pero tu show no lo cancela'
Te llaman a ti la reina del party
Mucha sandunga tiene ese body
Tirate un paso, no-no-no pare ¡Woo!
¡Wow! Dale, dale Yo'
Somos dos bandido' entre la rumba y romance
Y zumbale DJ, otra ve' pa' que dance
echale, echale, echale pa'tras
echale, echale, pa'lante y pa'tras Hey, eh, hey
Con calma, yo quiero ver como ella lo menea Con calma
Mueve ese poom-poom, girl Girl
Es un asesina, cuando baila quiere que to' el mundo la vea
I like your poom-poom, girl
Oh, con calma
I see you're loving the way I work the floor now
I got the poom-poom, boy
You could be my Puerto Rican dream, and I'll be your California gurl now
I got the poom-poom, boy ¡Woo!
Come with a nice young lady Let's go
Intelligent, yes, she gentle and irie ¡Fuego!
Everywhere me go me never lef' her at all-ie ¡Dile! ¡Ja!
Yes-a Daddy Snow me are the roam dance man-a Ay, Papi! Snow
Roam between-a dancing in-a in-a nation-a Prr-prr-prr
You never know say daddy me Snow me are the boom shakata ¡Ja! ¿Que-que-que-que?
Me never lay-a down flat in-a one cardboard box-a ¡Sube, sube!
Yes-a Daddy Yankee me-a go reaching out da top Hey! Ra!
Con calma, yo quiero ver como ella lo menea Menea
Mueve ese poom-poom, girl ¡Woo! Girl
Es un asesina, cuando baila quiere que to' el mundo la vea Oh, yeah
I like your poom-poom, girl
Con calma
I see you're loving the way I work the floor now
I got the poom-poom, boy
You could be my Puerto Rican dream, and I'll be your California gurl now
I got the poom-poom, boy
",Snow
826,"Ellie Goulding, Diplo",Close To Me,36,24,24,5/11/19,24-Oct-18,"Electronic Trap,Dance-Pop,Trap,Electronic,Dance,Electro,Electro-Pop,Rap,Pop","Ellie goulding, Savan kotecha, Peter svensson, Ilya, Swae lee, Diplo","Close to Me 
Even though we both know we're liars and we start each other's fires
We just know that we'll be alright
Even though we're kicked out the party cause we both hate everybody
We're the ones they wanna be like
So don't let me down
Keep me in trouble
Born to be wild
Out in the jungle
And I don't wanna be somebody without your body
Close to me
And if it wasn't you, I wouldn't want anybody
Close to me Yeah, yeah
'Cause I'm an animal, animal-al
Like animal, like you
And I don't wanna be somebody without your body
Close to me Woo
You can never come too close for comfort
I had to cut my bitch off, she being stubborn Stubborn
I make it known I fuck with you, not undercover Cover
And when I jump in, I'm burning rubber Yeah, skrrt
Iced out body, didn't go to college Yeah, yeah
Price tag poppin', then you on a private Then you on a
Don't say Sorry, everyone's watching Everyone
When you're where I am, everything's timeless Yeah, yeah
And I don't wanna be somebody without your body
Close to me
And if it wasn't you, I wouldn't want anybody
Close to me Yeah, yeah
'Cause I'm an animal, animal-al
Like animal, like you
And I don't wanna be somebody without your body
Close to me Yee
Close to me
Close to me Woo
Yeah
Animal, animal-al
Like animal, like you
And I don't wanna be somebody without your body Yeah
Close to me
And if it wasn't you, I wouldn't want anybody
Close to me Yeah, yeah
Because I'm an animal, animal-al
Like animal, like you
And I don't wanna be somebody without your body
Close to me
Close to me
To me
Close to me
",Swae Lee
827,"Lil Baby, Gunna",Drip Too Hard,37,4,33,5/11/19,9-Sep-18,"Hip-Hop,Atlanta,Memes,Motown,Trap,Rap","Gunna, Lil baby, Turbo","Drip Too Hard 
Run that back, Turbo
You can get the biggest Chanel bag in the store if you want it
I gave em the drip, they sucked it up, I got em moanin'
I bought a new Patek, I had the watch, so I two-toned em
Taking these drugs, I'm gon' be up until the mornin'
That ain't your car, you just a leaser, you don't own it
If I'm in the club, I got that fire when I'm performin'
The backend just came in, in all hundreds
Vibes galore, cute shit, they all on us
I'm from Atlanta where young niggas run shit
I know they hating on me, but I don't read comments
Whenever I tell her to come, she comin'
Whenever it's smoke, we ain't runnin'
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doing all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she getting slayed
Do this all the time, this ain't no surprise
Every other night, another movie getting made
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doing all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she getting slayed
Do this all the time, this ain't no surprise
Every other night, another movie getting made
Yeah, every other night, another dollar getting made
Every other night started with a good day
I feel like a child, I got boogers in the face
Diamonds dancing in the dark like this shit is a parade
I don't want your chain, Young GonWunna not a slave
I had to draw the line, too many bitches getting saved
TSA harass me, so I took a private plane
These pussy niggas lackin', why I'm working on my aim
Drip too hard Too hard, charge it to the card To the card
Designer to the ground, I can barely spell the names
Drip too hard, caution on the floor
You gon' fuck around and drown tryna ride a nigga wave
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doing all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she getting slayed
Do this all the time, this ain't no surprise
Every other night, another movie getting made
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doing all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she getting slayed
Do this all the time, this ain't no surprise
Every other night, another movie getting made
",
828,Chase Rice,Eyes On You,38,38,11,5/11/19,13-Oct-17,Country,"Chase rice, Ashley gorley, Chris destefano","Eyes on You 
We've been to both Carolinas
Seen a big Montana sky
Driven up and down a coast a few times
London, Paris, paradise
But ain't got much memory of the scenes
Come to think, I miss them all
And damn, babe, it's all your fault
No matter where we go
No matter what we do
If you're there, girl, I've got my eyes on you
Don't matter where we've been
No, there ain't no better view
Than you in my arms with my eyes on you
With my eyes on you With my eyes on you, with my
With my eyes on you With my eyes on you, with my
Speaking of the coast, remember Pfeiffer beach?
You and me, that sunset, cliffs by the sea
And the night rolled in
And you still talk about that moon that I can't recall
But God, I saw all I needed to
Might as well have stayed in the room
No matter where we go
No matter what we do
If you're there, girl, I've got my eyes on you
Don't matter where we've been
No, there ain't no better view
Than you in my arms with my eyes on you
With my eyes on you, yeah With my eyes on you, with my
Yeah, with my eyes on you With my eyes on you, with my
Don't you remember Times Square?
And people counting down everywhere
2000-whatever, no, I didn't care
'Cause baby you were there
And once again, couldn't help but stare
No matter where we go
No matter what we do
If you're there, girl, I've got my eyes on you
Don't matter where we've been
No, there ain't no better view
Than you in my arms with my eyes on you
Halfway around the world
Or the local corner booth
Yeah, you guessed it, girl
You know I got my eyes on you
We could be on any street
Any party, any room
I'll be there all night with my eyes on you
Don't matter where we've been
No, there ain't no better view
Than you in my arms with my eyes on you
",
829,Billie Eilish,When The Party's Over,39,29,25,5/11/19,17-Oct-18,"R&;B,Ambient,Art Pop,Indie Pop,Ballad,Pop",Finneas,"when the party's over 
Don't you know I'm no good for you?
I've learned to lose you, can't afford to
Tore my shirt to stop you bleedin'
But nothing ever stops you leavin'
Quiet when I'm coming home and I'm on my own
I could lie, say I like it like that, like it like that
I could lie, say I like it like that, like it like that
Don't you know too much already?
I'll only hurt you if you let me
Call me friend, but keep me closer Call me back
And I'll call you when the party's over
Quiet when I'm coming home and I'm on my own
And I could lie, say I like it like that, like it like that
Yeah, I could lie, say I like it like that, like it like that
But nothing is better sometimes
Once we've both said our goodbyes
Let's just let it go
Let me let you go
Quiet when I'm coming home and I'm on my own
I could lie, say I like it like that, like it like that
I could lie, say I like it like that, like it like that
",
830,Lil Dicky,Earth,41,17,2,5/11/19,19-Apr-19,"Memes,Charity,R&;B,Conscious Hip-Hop,Comedy,Satire,Afrobeats,UK,Climate Change,Pop,Hip-Hop,Rap","Lil dicky, Benny blanco, Cashmere cat, Jamil chammas, Ammo","Earth 
What up, world? It's your boy, just one of the guys down here Well, I could be more specific Uh, I'm a human, and I just wanted to, you know, for the sake of all of us earthlings out there, just wanted to say:
We love the Earth, it is our planet
We love the Earth, it is our home
We love the Earth, it is our planet
We love the Earth, it is our home
Hi, I'm a baboon
I'm like a man, just less advanced and my anus is huge
Hey, I'm a zebra
No one knows what I do, but I look pretty cool
Am I white or black?
I'm a lion cub, and I'm always getting licked Meow!
How's it going? I'm a cow Moo!
You drink milk from my tits Moo
I'm a fat, fucking pig
I'm a common fungus
I'm a disgruntled skunk, shoot you out my butthole
I'm a marijuana plant, I can get you fucked up
And I'm Kanye West
We love the Earth, it is our planet
We love the Earth, it is our home
We love the Earth, it is our planet
We love the Earth, it is our home
We love the Earth
Ba-dum-ba-dum-dum, ba-dum-da-di
We are the vultures, feed on the dead
We're just some rhinos, horny as heck
I'm just a giraffe, what's with this neck?
Hippity-hop, I'm a kangaroo
I hop all day, up and down with you
I'm an elephant, I got junk in my trunk
What the fuck? I'm a clam!
I'm a wolf Howl!
I'm a squirrel, looking for my next nut
And I'm a pony, just a freak horse, heh-heh-heh
But, uh, c'mon, get on Get on, yah!
Giddy up, let's ride
I'm HPV, don't let me in
I'm a koala and I sleep all the time
So what? It's cute
We love you, India
We love you, Africa
We love the Chinese
We forgive you, Germany
Earth, it is our planet It's our planet
We love the Earth We love the Earth, it is our home Home
We love the Earth, it is our planet It is our planet
We love the Earth, it is our home
We love the Earth
I'm a man Hello?
Can you hear me? Anyone out there? Hello?
I've trudged the Earth for so damn long
And still don't know shit What's going on?
I hope it's not a simulation Huh
Give each other names like Ahmed and Pedro
And, yeah, we like to wear clothes, girls still look beautiful
And it covers up our human dick Woo, eat a lot of tuna fish
But these days, it's like we don't know how to act
All these shootings, pollution, we under attack on ourselves
Like, let's all just chill Hey, respect what we built Hey
Like look at the internet! It's cracking as hell
Fellas, don't you love to cum when you have sex? Ayy
And I heard women orgasms are better than a dick's Uh
So what we got this land for? What we gotta stand for?
Love, and we love the Earth The Earth
Oh, yeah, baby, I love the Earth
I love this planet
Hey, Russia, we're cool
Hey, Asia, all of you, c'mon
Every one of you from the plains to the Sahara
Let's come together and live
Hum-dum-dum-dae-dum, hum-dum-dum-dae-dum
우-우-우리는 지구를 사랑해요
Amamos la tierra
我们爱地球
We love you, we love you
C'mon everybody, I know we're not all the same
But we're living on the same Earth
We love you, we love you
Have you ever been to Earth?
Everyone who is listening has been to Earth, Ariana
We love you, we love you
We're not making music for aliens here
Are we gonna die?
You know what, Bieber? We might die
We love you, we love you
I'm not going to lie to you
I mean, there's so many people out here who don't think global warming's a real thing You know? We gotta save this planet We're being stupid
Unless we get our shit together now
",
831,Lil Uzi Vert,Sanguine Paradise,42,28,3,5/11/19,9-Apr-19,"East Coast,Trap,Rap","Brandon finessin, Oogie mane, Lil uzi vert","Sanguine Paradise 
We be throwing money in a spiral
Every time your girl hear my song, yeah, turn her right into my ho
She shake her ass I'm working on dying, do the eye roll
Got a skinny thong like a tightrope
I be blowing up like some pyro
Coupe 150, call it Kyro
If she left with me, she the right ho
Man, she riding me like a BMX
Man, she said the D is for Dyno
I got two horns like a rhino
It's no way you could buy ho
But I bought a mansion with a slide door
Yes, I opened up the slide door
So you can hear her hit the high note
I like the way you Ayy
You do it Ayy
You do it Ayy
You do it Ayy
You do it Ayy
You do it Ayy
You do it Ayy
Money keep coming in, I can't lose
Money keep coming in, I can't lose
Foreign girls and they 10s, I can't choose
Foreign car got V10, I can't cruise
I got different color on my diamonds, I can't even see the time
I don't wanna see her face, I'ma go and get behind
Drop the top on the Wraith, I'ma make it lose its mind
I just made 100K, it was quicker than a Vine
I was swinging from a vine, tryna pull me down but I climb
I'ma get it, keep tryin', there's no reason for the cryin'
We the ones that be slidin', they the ones that be dyin'
Know my boys, they be riding and my doors suicide
Side note, you will never reach my goals At all
I be walking with a slime nose
And I'm also walking with my side ho
Only time I be walking when I'm on the moon, so I feel like Michael
I was talking to my little slime, that's a lil' lizard, call her Geico
In reality, I'm 5'4""
Stand on my money, now I'm 6'6""
Hit her once, now she dismissed
Can't fuck her sister, make her lick dick
Forty-orty make my hip thick
When I see an opp, make the clip hit
Aiming at his top, boy you need a mop
Man, I'm going out with a vengeance
My pants, Raf Simons
My shoes, Rick-Rick
Your girl dipped my tartar sauce so she ate my dick like a fish stick
Hit it raw, yes, I am a dog, I don't do this shit for no image
All my diamonds, they be hitting hard
Try to play me boy, that's a scrimmage
I got different color on my diamonds, I can't even see the time
I don't wanna see her face, I'ma go and get behind
Drop the top on the Wraith, I'ma make it lose its mind
I just made 100K, it was quicker than a Vine
I was swinging from a vine, tryna pull me down but I climb
I'ma get it, keep tryin', there's no reason for the cryin'
We the ones that be slidin', they the ones that be dyin'
Know my boys, they be riding and my doors suicide
Live it up, you can just go any day now
Mykko Montana, this beat is from K Camp
Got frost on my diamonds, I'm getting the cake now
Now stay on your stomach, lil' bitch, when you lay down
Live it up, cause you can go any day now
Mykko Montana, this beat is from K Camp
Frost on my diamonds cause I got the cake now
When you on your stomach, lil' bitch, better lay down
I'm so up and I can't turn it down
They counted me out, my whole life turned around
Clean up my diamonds, you know I got rinse it
Know my boys comin', you know they mean business
That advance that you waiting for, already spent it
When I'm on the beat man, you know I'm gon' kill it
We be throwing money in a spiral
Every time your girl hear my song, yeah, turn her right into my ho
She shake her ass, do the eye roll
Got a skinny thong like a tightrope
I be blowing up like some pyro
Coupe 150, call it Kyro
I got different color on my diamonds, I can't even see the time
I don't wanna see her face, I'ma go and get behind
Drop the top on the Wraith, I'ma make it lose its mind
I just made 100K, it was quicker than a Vine
I was swinging from a vine, tryna pull me down but I climb
I'ma get it, keep tryin', there's no reason for the cryin'
We the ones that be slidin', they the ones that be dyin'
Know my boys, they be riding and my doors suicide
I like the way you Ayy
You do it Ayy
You do it Ayy
You do it Ayy
You do it Ayy
You do it Ayy
You do it Ayy
",
